Title,Type,Genre,Release Year,Duration,No of Seasons,No of Episodes,Awards Won,Award Nominations,ImDb Rating,Global Availability,Netflix Original,Original Language, Viewership 
Wingwomen,Movie,Drama,2023,115,NA,NA,0,0,5.7,Not Available,Yes,French," 1,00,000 "
The Lobster ,Movie,Drama,2015,113,NA,NA,33,84,7.1,Available,No,English," 1,00,000 "
All of Us Are Dead,TV Series,Horror,2011,72,1,12,0,0,7.5,Available,Yes,Korean," 9,46,00,000 "
Stranger Things,TV Series,Horror,2016,42,4,34,112,311,8.7,Available,Yes,English," 8,69,00,000 "
Chilling Adventures of Sabrina,TV Series,Horror,2018,60,4,36,8,25,7.4,Available,No,English," 1,49,25,000 "
Zombieland,Movie,Horror,2009,88,NA,NA,10,29,7.5,Not Available,No,English," 1,05,00,000 "
Santa Clarita Diet,TV Series,Horror,2017,36,3,30,0,6,7.8,Available,No,English," 79,00,000 "
Train to Busan // ???,Movie,Horror,2016,118,NA,NA,36,42,7.6,Not Available,No,Korean," 78,00,000 "
Hereditary ,Movie,Horror,2018,127,NA,NA,50,112,7.3,Not Available,No,English," 78,00,000 "
In the Tall Grass,Movie,Horror,2019,102,NA,NA,2,3,5.5,Available,No,English," 76,00,000 "
Chambers: Season 1,TV Series,Horror,2019,51,1,10,0,0,6.4,Available,No,English," 76,00,000 "
IT,Movie,Horror,2017,135,NA,NA,10,49,7.3,Not Available,No,English," 65,00,000 "
The Boy (2016),Movie,Horror,2016,97,NA,NA,0,6,6,Not Available,No,English," 64,00,000 "
Death Note,Movie,Horror,2017,100,NA,NA,0,0,4.6,Available,Yes,English," 62,00,000 "
The Conjuring 2,Movie,Horror,2016,134,NA,NA,4,13,7.3,Not Available,No,English," 52,00,000 "
Nightflyers: Season 1,TV Series,Horror,2018,44,1,10,0,2,5.9,Available,No,English," 30,00,000 "
The Old Ways,Movie,Horror,2020,90,NA,NA,2,1,5.4,Available,No,English," 28,00,000 "
Cult of Chucky,Movie,Horror,2017,90,NA,NA,0,1,5.3,Not Available,No,English," 25,00,000 "
Friday the 13th (2009),Movie,Horror,2009,97,NA,NA,2,5,5.5,Not Available,No,English," 24,00,000 "
Scary Movie (2000),Movie,Horror,2000,88,NA,NA,7,6,6.3,Not Available,No,English," 21,00,000 "
Unfriended,Movie,Horror,2014,83,NA,NA,3,6,5.6,Not Available,No,English," 18,00,000 "
The Binding // Il legame,Movie,Horror,2020,93,NA,NA,0,0,4.8,Not Available,No,Italian," 18,00,000 "
Cam,Movie,Horror,2018,95,NA,NA,6,3,5.9,Available,No,English," 17,00,000 "
Clinical,Movie,Horror,2017,104,NA,NA,0,0,5.1,Available,No,English," 16,00,000 "
JU-ON: Origins: Season 1 // ???????: ????1,TV Series,Horror,2020,31,1,6,0,0,6.1,Available,No,Japanese," 15,00,000 "
Bulbbul // ??????,Movie,Horror,2020,94,NA,NA,8,11,6.5,Available,No,Hindi," 12,00,000 "
No Escape Room,Movie,Horror,2018,85,NA,NA,0,0,5,Not Available,No,English," 12,00,000 "
Roohi // ????,Movie,Horror,2021,133,NA,NA,0,10,4.3,Not Available,No,Hindi," 10,00,000 "
Incarnate,Movie,Horror,2016,87,NA,NA,0,0,5.3,Not Available,No,English," 9,00,000 "
Creep (2014),Movie,Horror,2014,78,NA,NA,4,3,6.3,Available,No,English," 9,00,000 "
Orphan (2009),Movie,Horror,2009,123,NA,NA,1,7,7,Not Available,No,English," 8,00,000 "
Creep 2,Movie,Horror,2017,80,NA,NA,0,,6.4,Available,No,English," 6,00,000 "
The 3rd Eye // Mata Batin,Movie,Horror,2018,108,NA,NA,0,0,5.1,Not Available,No,Indonesian," 6,00,000 "
